,race,workclass,fnlwgt,marital_status,occupation,relationship,age,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
27,0,0,64874,0,1,0,36,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
28,0,1,129432,0,0,0,54,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
29,0,0,163331,2,2,2,44,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1
30,0,0,38245,0,0,0,35,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
31,0,1,167816,2,0,1,19,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
32,0,0,152307,0,0,0,71,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1
33,0,2,136684,2,2,2,62,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0
34,0,2,241126,1,0,2,35,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
35,0,1,287277,0,1,0,64,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
36,0,0,188644,0,1,0,53,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
37,1,0,182833,1,0,2,30,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
38,0,0,434463,1,2,1,34,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
39,0,0,312818,0,0,0,62,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1
40,0,1,173534,1,1,2,21,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
41,0,0,204235,0,2,0,42,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1
42,0,0,193165,0,2,0,26,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
43,1,0,175133,2,2,2,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,0,0,161538,1,2,1,28,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1
45,0,0,177787,1,2,2,23,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
46,0,2,176280,2,1,1,56,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0
47,0,0,157893,1,2,2,21,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
48,1,0,296462,1,1,1,30,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
49,2,0,136951,0,2,0,58,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
50,0,0,87771,1,2,1,40,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
51,1,0,206008,1,2,2,21,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
52,0,0,340288,0,2,0,25,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
53,0,2,124015,2,1,1,63,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
54,2,1,262777,2,0,2,50,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
55,2,1,82393,1,2,2,29,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0
56,0,1,141875,0,2,0,50,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
57,0,0,60288,1,2,2,27,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1
58,0,0,366088,1,2,2,19,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
59,0,1,254285,0,1,0,52,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1
60,0,1,100734,2,2,1,33,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
61,1,1,534775,1,2,2,38,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0
62,1,1,189944,1,2,1,34,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1
63,0,1,195727,0,2,0,49,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1
64,0,0,160035,0,0,0,36,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
65,0,2,199596,2,0,2,46,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
66,0,0,199444,1,2,2,21,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
67,0,0,211743,1,2,1,32,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1
68,0,0,56121,0,2,0,24,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
69,0,0,131869,2,1,1,59,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1
70,0,1,318382,1,2,1,20,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
71,0,0,130304,0,1,0,32,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0
72,0,0,294913,0,0,0,47,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0
73,0,0,147258,0,2,0,37,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0
74,0,0,116539,0,0,0,32,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1
75,0,0,168187,1,1,2,20,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
76,0,0,143189,1,2,2,46,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
77,0,0,122493,0,2,0,37,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0
78,1,0,293828,1,1,1,27,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1
79,0,0,129227,2,2,1,30,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
80,0,0,217652,2,2,2,34,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1
81,0,0,58350,1,1,1,26,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
82,0,0,203003,1,0,1,23,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
83,0,0,228230,1,1,2,21,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
84,0,0,249332,0,2,0,42,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
85,0,2,198884,0,0,0,68,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
86,0,0,192602,0,0,0,41,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
87,2,0,146121,2,2,2,49,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
88,0,0,288983,1,2,1,31,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
89,0,0,265579,2,2,1,58,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0
90,0,1,180871,0,2,0,34,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0
91,0,2,248568,0,2,0,80,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0
92,0,0,31533,2,1,1,52,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
93,0,0,165867,0,0,0,56,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
94,1,1,122660,1,1,2,27,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
95,0,1,172246,0,2,0,49,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1
96,0,1,45784,1,1,2,73,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0
97,0,1,197290,0,1,0,59,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0
98,0,0,264554,0,1,0,33,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
99,0,0,84954,0,2,0,39,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
100,1,1,377107,2,1,2,33,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1
101,0,0,226084,2,2,2,52,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0
102,0,0,196385,0,0,0,30,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
103,0,0,201217,2,1,1,46,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0
104,0,0,437727,0,1,0,57,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
105,0,0,20511,1,1,1,31,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
106,0,1,301638,0,2,0,43,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0
107,0,0,337195,0,2,0,51,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1
108,0,1,164552,1,1,1,30,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1
109,0,1,173754,0,2,0,64,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1
110,0,2,107548,0,2,0,69,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
111,0,0,185452,1,0,2,22,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1
112,0,0,134829,1,1,2,17,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1
113,0,0,115562,2,2,2,41,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
114,0,0,308028,0,2,0,63,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0
115,1,0,234460,1,2,2,23,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
116,0,0,195770,0,2,0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,0,0,276568,1,2,2,23,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0
118,0,1,147612,1,2,2,18,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
119,0,0,103925,2,2,2,37,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
120,0,1,71151,0,2,0,32,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
121,0,0,33394,0,2,0,36,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0
122,0,0,169589,1,1,1,31,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,0,0,181242,2,2,1,55,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
124,0,0,144483,2,2,2,26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
125,2,0,119751,1,1,2,55,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0
126,0,0,174928,2,2,1,46,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1
127,0,0,109097,2,2,2,26,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0
128,0,0,272944,2,2,1,35,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
129,0,1,150211,0,0,0,47,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
130,0,0,32950,1,2,1,23,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
131,0,0,353352,1,0,2,29,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
132,0,0,306646,0,0,0,36,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0
133,0,0,176101,1,0,2,36,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1
134,0,0,272185,1,0,2,23,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
135,0,2,132341,0,0,0,51,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1
136,0,1,235109,0,2,2,32,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
137,0,0,200939,0,0,0,55,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
138,0,0,353358,1,1,2,18,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
139,0,1,282701,0,2,0,50,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0
140,0,0,436253,1,1,2,20,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0
141,0,0,249046,0,2,0,23,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
142,0,1,204470,0,2,0,32,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0
143,1,1,92141,2,2,1,58,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
144,1,0,910398,1,2,1,37,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
145,1,1,214385,2,1,2,29,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
146,0,0,109055,0,2,0,31,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
147,0,0,148644,1,2,2,19,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0
148,0,1,241404,2,2,1,63,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
149,0,0,176244,0,2,2,34,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1
150,0,2,48214,0,1,2,33,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
151,0,0,168262,0,0,0,47,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
152,0,1,78530,0,0,0,32,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0
153,0,1,82161,0,2,0,42,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
154,0,0,213412,0,0,0,26,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
155,0,0,61343,0,0,0,38,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
156,2,1,161334,2,1,1,54,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0
157,0,2,180599,1,0,1,43,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
158,0,0,129528,1,2,1,27,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0
159,0,0,139647,2,0,2,39,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0
160,0,0,322691,2,0,2,55,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
161,0,0,251795,0,1,2,42,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
162,0,0,185027,0,1,0,30,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0
163,0,0,285897,0,0,0,28,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0
164,0,1,37274,1,0,2,27,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0
165,0,0,230899,2,2,1,57,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1
166,0,0,590941,1,1,2,53,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0
167,0,0,115057,1,0,1,20,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
168,1,0,121040,1,0,2,26,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1
169,0,0,193859,1,2,1,19,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0
170,0,1,145112,1,1,2,23,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
171,0,0,99651,0,0,0,44,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0
172,0,1,23157,1,2,1,43,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0
173,1,1,323006,2,1,2,65,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
174,0,0,368797,0,0,0,55,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
175,0,0,216137,1,2,2,17,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1
176,0,0,95763,2,0,1,56,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
177,0,0,117037,0,2,0,43,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1
178,0,0,206699,2,2,2,37,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
179,0,1,171231,1,2,1,40,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
180,0,0,347513,1,2,1,27,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
181,2,0,95680,0,0,0,60,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
182,0,0,104981,1,2,1,20,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1
183,1,0,159522,2,2,2,69,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
184,1,1,109849,1,1,1,63,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1
185,0,0,33002,0,0,0,42,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1
186,0,0,163885,1,2,2,19,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
187,0,1,211497,0,1,0,26,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1
188,0,1,345259,1,1,1,34,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
189,0,0,239708,2,0,1,40,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1
190,0,0,199224,1,2,1,26,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
191,0,0,216469,0,2,0,24,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
192,0,1,160151,0,2,0,50,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
193,0,1,355700,2,2,2,34,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
194,0,0,35166,0,1,0,41,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
195,0,1,321851,2,2,1,49,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1
196,0,0,86153,1,2,1,24,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
197,0,2,98361,1,0,2,55,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
198,0,0,147215,2,1,2,31,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
199,0,0,367200,2,0,2,56,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
200,0,2,120539,0,2,0,42,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1
201,0,0,82777,0,0,0,23,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
202,0,2,346783,0,1,0,46,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1
203,0,0,60594,2,1,2,40,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1
204,0,0,195258,2,0,1,44,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
205,2,0,32519,0,2,0,27,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
206,0,2,130714,0,0,0,58,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
207,0,0,167670,0,1,0,60,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
208,0,0,123306,0,1,0,40,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
209,0,0,194608,1,2,2,19,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
210,1,1,132718,1,2,2,27,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0
211,0,0,289551,0,2,0,41,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
212,2,0,331539,1,0,1,32,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1
213,0,1,188610,0,2,0,47,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0
214,0,0,27484,0,0,0,50,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
215,1,0,338162,0,2,2,21,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
216,0,0,275848,1,2,2,18,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0
217,0,1,165474,1,2,2,24,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
218,0,0,103323,2,2,1,38,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1
219,0,0,210875,0,0,0,45,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
220,0,0,98170,2,1,1,69,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
221,0,2,45604,0,2,0,32,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
222,1,0,654141,1,0,1,21,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
223,0,0,143110,2,1,1,64,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
224,1,0,285294,0,2,2,28,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
225,0,0,101320,2,0,1,49,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1
226,0,0,653215,2,2,2,59,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
227,0,1,54342,0,2,0,50,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
228,1,1,280519,2,1,2,58,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
229,0,1,200727,0,1,0,46,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0
230,0,0,27408,2,0,2,38,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0
231,0,0,103323,0,0,0,38,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1
232,0,1,207213,1,0,2,28,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0
233,0,0,169323,0,0,2,25,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
234,0,0,71067,1,1,1,29,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1
235,0,1,207172,1,0,1,33,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
236,0,2,222162,0,0,0,33,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1
237,0,0,167832,0,2,0,30,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1
238,0,0,220585,0,0,0,36,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1
239,0,0,148903,2,2,2,35,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1
240,0,0,154076,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
241,0,0,195337,1,2,1,27,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1
