,age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native_country,income_bigger_than_50K
127,23,0,234460,0,4,1,2,2,1,1,0,0,40,1,0
128,33,0,195770,0,9,0,2,0,0,0,0,0,40,0,0
129,23,0,276568,1,10,1,2,2,0,1,0,0,40,0,0
130,18,1,147612,0,9,1,2,2,0,1,0,0,8,0,0
131,37,0,103925,0,9,2,2,2,0,1,0,0,68,0,0
132,32,1,71151,1,13,0,2,0,0,0,0,0,20,0,0
133,36,0,33394,1,13,0,2,0,0,0,0,1887,35,0,1
134,31,0,169589,1,14,1,1,1,0,0,0,0,30,0,0
135,55,0,181242,0,9,2,2,1,0,0,0,0,20,0,0
136,26,0,144483,0,11,2,2,2,0,1,594,0,35,0,0
137,55,0,119751,1,14,1,1,2,2,1,0,0,40,1,0
138,46,0,174928,0,9,2,2,1,0,0,0,0,40,1,0
139,26,0,109097,0,9,2,2,2,0,1,0,0,48,0,0
140,35,0,272944,1,13,2,2,1,0,0,0,0,40,0,0
141,47,1,150211,1,16,0,0,0,0,0,0,0,40,0,1
142,23,0,32950,1,13,1,2,1,0,0,0,0,40,0,0
143,29,0,353352,0,11,1,0,2,0,0,0,0,40,0,0
144,36,0,306646,1,13,0,0,0,0,0,0,0,55,0,1
145,36,0,176101,1,10,1,0,2,0,0,2174,0,60,0,0
146,23,0,272185,0,11,1,0,2,0,0,0,0,33,0,0
147,51,2,132341,0,9,0,0,0,0,0,0,0,45,0,1
148,32,1,235109,1,13,0,2,2,0,1,0,0,40,0,0
149,55,0,200939,0,9,0,0,0,0,0,0,0,48,0,1
150,18,0,353358,1,10,1,1,2,0,0,0,0,16,0,0
151,50,1,282701,0,9,0,2,0,0,0,4386,0,48,0,1
152,20,0,436253,1,10,1,1,2,0,0,0,0,35,0,0
153,23,0,249046,0,6,0,2,0,0,0,0,0,40,0,0
154,32,1,204470,1,10,0,2,0,0,0,0,0,99,0,1
155,58,1,92141,0,12,2,2,1,1,1,0,0,40,0,0
156,37,0,910398,1,13,1,2,1,1,1,0,0,40,0,0
157,29,1,214385,0,7,2,1,2,1,1,0,0,20,0,0
158,31,0,109055,0,9,0,2,0,0,0,3137,0,45,0,0
159,19,0,148644,0,9,1,2,2,0,1,0,0,40,0,0
160,63,1,241404,1,10,2,2,1,0,1,0,0,35,0,0
161,34,0,176244,0,9,0,2,2,0,1,0,0,40,1,0
162,33,2,48214,1,14,0,1,2,0,1,0,0,8,0,0
163,47,0,168262,1,10,0,0,0,0,0,0,0,60,0,1
164,32,1,78530,1,10,0,0,0,0,0,15024,0,50,0,1
166,42,1,82161,0,9,0,2,0,0,0,0,0,72,0,1
167,26,0,213412,0,7,0,0,0,0,0,0,0,40,0,0
168,38,0,61343,0,5,0,0,0,0,0,0,0,40,0,0
169,54,1,161334,1,14,2,1,1,2,1,0,0,40,1,0
170,43,2,180599,0,9,1,0,1,0,0,0,0,35,0,0
171,27,0,129528,1,10,1,2,1,0,1,0,0,40,0,0
172,39,0,139647,1,10,2,0,2,0,1,0,0,56,0,0
173,55,0,322691,1,14,2,0,2,0,0,0,0,62,0,1
174,42,0,251795,1,10,0,1,2,0,1,0,0,50,0,1
176,30,0,185027,1,13,0,1,0,0,0,0,0,40,0,1
177,28,0,285897,1,13,0,0,0,0,0,0,0,40,0,0
178,27,1,37274,0,9,1,0,2,0,0,0,0,20,0,0
179,57,0,230899,0,3,2,2,1,0,1,0,0,40,0,0
180,53,0,590941,1,16,1,1,2,0,1,0,1408,40,0,0
181,20,0,115057,0,9,1,0,1,0,0,0,0,40,0,0
182,26,0,121040,0,12,1,0,2,1,1,0,0,40,0,0
183,19,0,193859,1,10,1,2,1,0,0,2176,0,35,1,0
184,23,1,145112,1,13,1,1,2,0,1,0,0,43,0,0
185,44,0,99651,1,14,0,0,0,0,0,5178,0,40,0,1
186,43,1,23157,0,9,1,2,1,0,0,0,0,60,0,0
187,65,1,323006,0,9,2,1,2,1,1,0,0,25,0,0
188,55,0,368797,1,14,0,0,0,0,0,0,1977,60,0,1
189,17,0,216137,0,5,1,2,2,0,1,0,0,15,0,0
190,56,0,95763,0,6,2,0,1,0,0,0,0,45,0,0
191,43,0,117037,0,7,0,2,0,0,0,0,2042,40,0,0
192,37,0,206699,0,9,2,2,2,0,0,0,0,45,0,0
193,40,1,171231,1,13,1,2,1,0,0,0,0,40,1,0
194,27,0,347513,1,10,1,2,1,0,1,0,0,40,0,0
195,60,0,95680,0,9,0,0,0,2,0,0,0,45,0,1
196,20,0,104981,0,9,1,2,1,0,0,0,0,40,0,0
197,69,0,159522,0,4,2,2,2,1,1,2964,0,40,0,0
198,63,1,109849,1,13,1,1,1,1,1,0,0,21,0,0
199,42,0,33002,0,9,0,0,0,0,0,0,0,48,0,0
200,19,0,163885,0,9,1,2,2,0,1,0,0,40,0,0
201,26,1,211497,1,10,0,1,0,0,0,0,0,40,0,0
202,34,1,345259,1,16,1,1,1,0,1,0,0,99,0,0
204,40,0,239708,0,9,2,0,1,0,0,0,0,50,0,0
205,26,0,199224,1,10,1,2,1,0,0,0,0,30,0,0
206,24,0,216469,0,9,0,2,0,0,0,0,1579,50,0,0
207,50,1,160151,1,10,0,2,0,0,0,0,0,60,0,1
208,34,1,355700,0,9,2,2,2,0,1,0,0,20,0,0
209,41,0,35166,0,15,0,1,0,0,0,15024,0,50,0,1
210,49,1,321851,0,12,2,2,1,0,1,0,0,30,0,0
211,24,0,86153,1,10,1,2,1,0,1,0,0,40,0,0
212,55,2,98361,0,9,1,0,2,0,0,0,0,35,0,0
214,31,0,147215,0,8,2,1,2,0,1,0,0,21,0,0
215,56,0,367200,0,9,2,0,2,0,0,0,0,40,0,0
216,42,2,120539,1,13,0,2,0,0,0,0,0,50,0,1
217,23,0,82777,0,9,0,0,0,0,0,0,0,30,0,0
218,46,2,346783,0,15,0,1,0,0,0,15024,0,35,1,1
219,40,0,60594,1,10,2,1,2,0,1,0,0,30,0,0
220,44,0,195258,1,14,2,0,1,0,0,0,0,50,0,0
221,27,0,32519,1,10,0,2,0,2,0,0,0,55,1,0
223,58,2,130714,1,14,0,0,0,0,0,0,0,50,0,0
224,60,0,167670,1,13,0,1,0,0,0,0,0,35,0,0
225,40,0,123306,0,11,0,1,0,0,0,0,0,40,0,1
226,19,0,194608,0,5,1,2,2,0,1,0,0,40,0,0
227,27,1,132718,0,9,1,2,2,1,0,0,0,40,0,0
228,41,0,289551,0,9,0,2,0,0,0,7688,0,40,0,1
229,32,0,331539,0,9,1,0,1,2,0,0,0,40,0,0
230,47,1,188610,0,9,0,2,0,0,0,0,0,48,0,0
231,50,0,27484,0,9,0,0,0,0,0,0,0,50,0,1
232,21,0,338162,0,9,0,2,2,1,1,0,0,37,0,0
233,18,0,275848,0,8,1,2,2,0,1,0,0,16,0,0
234,24,1,165474,1,13,1,2,2,0,0,0,0,40,0,0
235,38,0,103323,0,9,2,2,1,0,0,0,0,40,0,0
236,45,0,210875,0,9,0,0,0,0,0,0,0,40,0,0
237,69,0,98170,0,4,2,1,1,0,1,1086,0,20,0,0
238,32,2,45604,1,13,0,2,0,0,0,0,0,70,0,0
239,21,0,654141,0,9,1,0,1,1,0,0,0,32,0,0
242,64,0,143110,1,13,2,1,1,0,1,0,0,30,0,0
243,28,0,285294,1,13,0,2,2,1,1,15024,0,45,0,1
245,49,0,101320,1,14,2,0,1,0,1,0,0,75,0,0
246,59,0,653215,0,7,2,2,2,0,1,0,0,40,0,0
247,50,1,54342,0,9,0,2,0,0,0,0,0,40,0,0
248,58,1,280519,0,9,2,1,2,1,0,0,0,40,0,0
249,46,1,200727,1,14,0,1,0,0,0,0,0,50,0,1
250,38,0,27408,0,9,2,0,2,0,0,0,0,50,0,0
251,38,0,103323,1,10,0,0,0,0,0,7688,0,40,0,1
252,28,1,207213,0,12,1,0,2,0,0,0,0,5,0,0
253,25,0,169323,1,13,0,0,2,0,1,0,0,40,0,0
254,29,0,71067,0,15,1,1,1,0,1,0,0,55,0,0
255,33,1,207172,0,9,1,0,1,0,1,0,0,40,0,0
256,33,2,222162,0,9,0,0,0,0,0,0,0,40,0,0
257,30,0,167832,0,9,0,2,0,0,0,0,0,40,0,0
258,36,0,220585,0,12,0,0,0,0,0,0,0,50,0,1
260,35,0,148903,0,9,2,2,2,0,1,0,0,40,0,0
262,40,0,154076,0,9,0,0,0,0,0,0,0,45,0,0
263,27,0,195337,1,10,1,2,1,0,1,0,0,40,0,0
264,43,1,79529,0,9,0,2,2,0,1,0,0,35,0,0
265,38,0,186934,0,9,0,2,0,0,0,0,0,40,0,0
266,39,0,205359,0,12,2,2,2,0,1,0,0,45,0,0
267,20,0,199698,0,5,1,2,2,0,0,0,0,35,0,0
268,32,0,160594,1,10,1,1,2,0,0,0,0,35,0,0
269,43,0,147510,1,13,2,1,2,0,0,0,0,40,0,0
270,41,1,207685,1,13,1,0,1,0,0,0,0,40,0,1
271,39,0,30828,0,9,2,2,1,0,0,0,0,40,0,0
272,32,0,239662,0,9,0,0,0,1,0,0,1579,36,0,0
273,28,0,340269,0,9,0,0,0,0,0,3137,0,45,0,0
274,24,0,200967,0,9,0,0,2,0,1,0,0,36,0,0
275,51,1,192973,1,13,0,2,0,1,0,0,0,40,0,1
276,38,0,206951,1,10,1,0,2,0,0,0,0,40,0,0
277,23,0,120601,0,11,0,0,0,1,0,0,0,40,0,0
278,46,0,158825,0,9,2,0,1,0,1,14344,0,40,0,1
279,48,0,185041,0,4,0,2,0,0,0,0,1672,55,0,0
280,43,2,47261,1,10,0,2,0,0,0,0,0,50,0,0
281,17,0,75333,0,6,1,2,2,1,1,0,0,24,0,0
282,41,0,196001,0,9,0,2,2,0,1,0,0,20,0,0
283,30,1,141297,1,13,0,1,0,2,0,0,0,40,1,1
284,25,0,113099,0,9,2,0,1,1,0,0,0,40,0,0
285,26,0,162302,1,10,1,2,1,2,0,0,0,40,1,0
286,48,1,189762,0,9,0,0,0,0,0,0,0,40,0,1
287,48,0,189123,1,14,1,2,1,0,0,0,0,40,0,0
288,51,2,103257,0,15,0,1,0,0,0,0,0,40,0,0
289,31,2,161745,1,13,2,0,1,0,0,0,1980,60,0,0
290,24,1,43475,1,13,1,1,1,0,0,0,0,40,0,0
291,58,0,102791,0,9,2,1,2,0,1,0,0,40,0,0
292,36,0,379522,0,9,0,0,0,0,0,15024,0,40,0,1
293,40,0,283724,0,5,1,0,2,1,0,0,0,49,0,0
295,47,0,262043,1,13,2,2,1,0,1,0,0,40,0,0
296,39,1,99156,1,16,0,1,0,0,0,0,0,50,0,1
297,35,0,207819,1,13,0,0,0,0,0,15024,0,50,0,1
298,22,0,184543,1,10,2,2,2,0,1,0,0,40,0,0
299,45,2,201080,1,14,0,2,0,0,0,0,0,40,0,1
300,25,0,211392,0,9,1,1,1,0,0,0,0,48,0,0
301,21,0,230248,0,9,1,2,1,0,1,0,0,25,0,0
302,55,1,200448,1,10,2,2,1,1,0,0,0,40,0,0
303,26,0,34402,1,13,1,2,1,0,0,0,0,45,0,0
304,38,0,103925,0,9,1,2,2,0,1,0,0,35,0,0
305,44,0,88808,0,8,0,2,0,0,0,0,0,40,0,0
306,43,0,167599,0,7,0,2,2,0,1,0,0,25,0,0
307,18,0,118376,1,10,1,2,2,0,1,0,0,15,0,0
308,35,0,187119,1,10,2,0,1,0,1,0,0,70,0,0
309,31,0,328734,1,14,1,1,1,0,1,0,0,30,0,0
310,53,1,439263,1,13,0,2,0,1,0,0,0,40,0,1
311,49,0,265295,0,9,1,0,1,0,0,0,0,40,0,0
312,28,0,111900,0,12,0,2,0,0,0,0,0,30,0,0
314,24,0,83783,1,13,1,2,2,0,1,0,0,40,0,0
316,26,0,154604,0,9,2,2,2,0,1,0,0,40,0,0
317,53,0,226135,0,5,1,0,1,1,0,0,0,40,1,0
318,18,2,207438,0,9,0,1,2,0,1,0,0,40,0,0
319,51,0,68882,0,2,2,1,2,0,1,0,0,35,1,0
320,33,0,219034,0,7,1,2,1,0,1,0,0,40,0,0
321,58,2,310014,1,13,0,2,0,0,0,0,0,25,0,0
323,32,0,169512,1,13,0,2,0,1,0,0,0,60,0,1
324,63,0,440607,0,1,0,1,0,2,0,0,0,30,1,0
325,69,0,361561,0,15,0,1,0,0,0,0,0,3,0,0
326,43,0,211128,1,14,2,0,1,0,1,0,0,50,0,1
327,34,0,263908,1,10,0,2,0,0,0,0,0,50,0,0
328,38,0,102350,1,10,2,0,2,0,0,0,0,40,0,0
329,40,0,85668,0,4,0,0,0,0,0,0,0,60,0,0
330,44,0,112797,0,5,2,1,2,0,1,0,0,50,0,0
332,35,0,111377,0,9,2,2,1,0,0,0,0,40,0,0
333,48,0,345831,1,10,0,2,0,0,0,0,0,40,0,1
334,22,0,326334,1,10,1,0,2,0,0,0,0,35,0,0
335,44,0,33521,1,10,0,0,0,0,0,0,0,40,0,1
336,36,0,221650,1,10,0,0,0,0,0,0,0,40,1,0
337,51,1,154891,0,9,2,2,2,0,0,0,0,52,0,0
338,34,0,163110,1,14,0,2,0,0,0,0,0,40,0,0
339,34,0,302770,1,10,0,2,0,0,0,0,0,60,0,0
340,62,0,161802,0,2,0,2,2,1,1,0,0,30,0,0
341,22,0,298489,1,10,1,0,2,0,0,0,0,40,0,0
342,37,0,182668,0,6,0,2,0,0,0,0,0,35,0,0
343,22,1,34029,1,13,1,1,2,0,1,0,0,20,0,0
344,24,0,275093,0,9,1,2,1,0,1,0,0,36,0,0
346,45,0,370274,0,8,0,0,0,0,0,0,0,40,0,0
347,42,0,482211,0,9,1,0,2,0,0,0,0,40,0,0
348,30,0,97723,0,9,0,0,0,0,0,0,0,35,0,1
349,35,0,189102,0,9,0,0,0,0,0,0,0,55,0,1
350,37,0,403344,0,9,0,0,0,0,0,0,0,40,0,0
351,45,0,189792,1,14,0,2,0,0,0,0,0,40,0,1
352,20,0,262877,0,9,1,0,1,0,1,0,0,55,0,0
353,40,0,226505,0,9,0,2,2,0,1,0,0,46,0,1
354,57,2,321456,0,9,0,2,0,0,0,0,0,20,0,0
355,45,2,271828,1,13,0,0,0,0,0,0,0,20,0,0
356,31,0,56510,1,10,0,0,0,2,0,0,0,40,0,0
357,21,0,345253,1,10,1,2,1,2,0,2174,0,40,0,0
358,29,0,133136,0,8,0,2,0,0,0,0,0,40,0,1
359,29,0,132686,0,9,2,2,2,0,0,0,0,40,0,0
360,41,0,311101,0,9,2,0,1,0,0,0,0,40,0,0
361,27,1,225291,0,12,1,1,1,0,1,0,0,40,0,0
363,36,0,172571,0,9,0,2,0,0,0,0,0,45,0,0
365,42,0,39060,0,9,0,2,0,0,0,0,0,60,0,1
366,42,0,144594,0,9,0,0,0,0,0,0,0,40,0,1
367,26,0,297991,1,13,0,2,1,2,1,0,1977,75,1,1
368,61,1,347445,1,14,0,0,0,0,0,0,0,40,0,1
369,43,0,456236,1,14,0,0,0,0,0,0,0,50,0,1
370,30,2,227429,0,9,1,0,1,0,0,0,0,45,1,0
372,50,0,176157,1,14,0,0,0,0,0,0,0,50,0,1
373,34,0,274577,0,9,2,2,2,1,1,0,0,40,0,0
374,33,0,119176,1,10,2,2,2,0,1,0,0,40,0,0
375,19,0,256979,0,9,1,0,2,0,0,0,0,35,0,0
376,32,0,358655,1,14,2,2,1,0,1,0,0,50,0,1
377,60,1,195409,1,14,0,1,0,0,0,15024,0,52,0,1
378,56,2,19896,1,10,0,2,2,0,1,0,0,60,0,1
379,66,0,102423,0,11,0,2,0,0,0,0,0,30,0,0
380,22,0,190625,1,10,1,2,2,0,0,0,0,35,0,0
381,36,2,202950,1,13,0,0,0,0,0,0,0,50,1,0
382,56,0,247337,1,13,0,1,0,0,0,0,0,50,0,1
383,19,0,248749,1,10,1,2,2,0,0,0,0,20,0,0
385,40,0,34722,1,10,2,2,1,0,0,0,0,48,0,1
386,35,0,170617,0,9,1,2,2,1,1,0,0,48,0,0
387,62,1,68268,0,9,0,2,0,0,0,0,0,40,0,0
388,45,1,170915,0,9,2,2,1,0,1,4865,0,40,0,0
389,60,0,166330,0,9,0,2,2,0,1,0,0,40,0,0
390,59,0,216851,0,9,1,2,1,0,0,0,0,40,0,0
391,36,0,143123,0,15,0,1,0,0,0,0,0,50,0,1
392,35,0,41777,0,8,1,2,1,0,0,0,0,20,0,0
393,40,0,175686,1,10,2,2,2,0,1,0,0,40,0,0
394,32,1,42596,1,13,2,1,1,0,0,0,0,40,0,0
395,41,1,218302,1,13,0,2,0,0,0,0,0,60,0,1
396,52,0,139176,0,9,0,2,0,0,0,0,0,8,0,0
397,63,1,80655,1,10,2,2,1,0,1,0,0,40,0,0
398,37,2,265266,0,15,0,1,0,0,0,0,0,40,1,1
399,29,0,163167,0,9,2,2,2,0,0,0,0,40,0,0
400,17,0,53611,0,8,1,1,2,0,1,0,0,6,0,0
401,22,0,226327,1,10,1,2,2,0,1,0,0,40,0,0
402,29,1,128091,0,9,1,2,2,0,1,0,0,40,0,0
405,33,0,258932,0,9,2,0,1,0,1,0,0,40,0,0
406,21,0,155483,1,10,1,0,1,0,0,0,0,40,0,0
407,24,0,283613,1,13,0,1,0,0,0,0,0,40,0,0
408,50,0,65408,0,9,0,0,0,0,0,0,0,50,0,1
409,56,0,242782,0,9,2,2,1,0,1,0,0,44,0,0
410,30,1,295737,0,9,0,1,0,0,0,0,0,40,0,0
411,50,0,205803,1,14,0,2,0,0,0,15024,0,40,0,1
412,55,0,35551,0,9,2,0,1,0,0,0,0,40,0,0
413,53,1,141340,0,9,0,2,0,0,0,0,0,40,0,1
414,80,0,148623,0,15,0,1,0,0,0,0,0,35,0,1
415,58,0,156040,0,12,0,2,0,1,0,0,1848,40,0,1
416,36,0,136629,1,10,0,2,0,0,0,0,0,40,0,1
417,22,0,315476,0,7,1,0,2,0,0,0,0,40,0,0
418,66,1,132055,0,9,0,0,0,0,0,0,1825,40,0,1
419,61,1,91726,1,14,0,2,2,0,1,0,0,40,0,1
420,32,0,312667,1,13,2,0,1,0,0,2174,0,55,0,0
421,53,1,204397,0,9,0,0,0,0,0,0,0,60,0,0
422,40,0,180206,0,12,0,0,0,0,0,0,0,40,0,1
423,19,0,87653,1,10,1,1,2,0,1,0,0,25,0,0
424,29,0,212588,0,9,0,0,0,0,0,0,0,40,0,0
425,21,0,325923,1,10,1,2,2,0,0,0,0,35,0,0
426,28,0,216178,1,13,0,0,0,0,0,0,0,50,0,1
427,30,0,245211,0,9,0,2,0,0,0,0,2002,43,0,0
428,41,0,116797,0,9,0,2,0,0,0,7298,0,50,0,1
429,45,1,122206,0,12,0,0,0,0,0,0,0,50,0,1
430,31,0,231043,1,10,0,2,0,0,0,0,0,50,0,0
431,24,0,142227,1,13,1,2,1,0,1,0,0,30,0,0
432,43,2,34007,1,13,0,2,0,0,0,0,0,70,0,1
433,28,0,375482,1,13,1,2,1,0,0,0,0,40,0,0
436,26,0,156848,1,13,1,2,1,0,0,0,0,40,0,0
438,23,0,217169,1,13,1,2,2,0,1,0,0,40,0,0
439,48,0,332884,0,12,2,0,1,0,0,0,0,40,0,0
440,34,0,265706,1,14,1,2,2,0,0,0,0,60,0,1
441,38,0,89559,1,10,2,1,2,0,1,0,0,40,1,0
442,27,1,298510,0,9,2,2,2,0,0,0,0,40,0,0
443,30,1,295010,1,13,1,2,1,0,1,0,0,60,0,1
444,40,0,51151,0,11,0,0,0,0,0,0,0,40,0,0
445,44,0,186790,1,14,0,0,0,0,0,0,0,48,0,0
446,34,0,250724,1,13,0,2,0,0,0,0,0,45,1,0
447,30,0,221178,0,9,2,1,2,0,0,0,0,28,0,0
448,50,0,175804,0,9,0,2,0,0,0,0,0,48,0,0
449,36,0,214807,0,9,2,1,2,0,1,0,0,40,0,0
450,37,0,305597,1,13,0,1,0,0,0,0,0,45,0,1
452,20,0,211049,1,10,1,0,2,0,1,0,0,30,0,0
453,29,0,606111,1,13,2,0,1,0,1,0,0,40,0,0
454,34,0,127195,1,10,0,0,0,0,0,0,0,40,0,0
455,39,2,208109,0,9,0,2,0,0,0,0,0,60,0,1
