,workclass,age,marital_status,occupation,relationship,gender,native_country,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
53,2,63,2,2,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
54,1,50,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
55,1,29,1,5,2,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1
56,1,50,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
57,0,27,1,3,2,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0
58,0,19,1,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
59,1,52,0,2,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
60,1,33,2,5,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
61,1,38,1,5,2,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0
62,1,34,1,6,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1
63,1,49,0,3,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
64,0,36,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1
65,2,46,2,0,2,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1
66,0,21,1,6,2,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0
67,0,32,1,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
68,0,24,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
69,0,59,2,4,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
70,1,20,1,6,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1
71,0,32,0,2,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
72,0,47,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1
73,0,37,0,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
74,0,32,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
75,0,20,1,4,2,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0
76,0,46,1,5,2,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
77,0,37,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
78,0,27,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
79,0,30,2,6,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
80,0,34,2,5,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
81,0,26,1,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
82,0,23,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
83,0,21,1,4,2,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0
84,0,42,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
85,2,68,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
86,0,41,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
87,0,49,2,5,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
88,0,31,1,2,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
89,0,58,2,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
90,1,34,0,6,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1
91,2,80,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
92,0,52,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
93,0,56,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0
94,1,27,1,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
95,1,49,0,3,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0
96,1,73,1,2,2,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1
97,1,59,0,4,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
98,0,33,0,2,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1
99,0,39,0,3,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
100,1,33,2,4,2,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
101,0,52,2,5,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,0,46,2,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
104,0,57,0,2,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0
105,0,31,1,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
106,1,43,0,5,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
107,0,51,0,3,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1
108,1,30,1,2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
109,1,64,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
110,2,69,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
111,0,22,1,0,2,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0
112,0,17,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,41,2,2,2,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1
114,0,63,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
115,0,23,1,5,2,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
116,0,33,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
117,0,23,1,3,2,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
118,1,18,1,5,2,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
119,0,37,2,6,2,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
120,1,32,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
121,0,36,0,3,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
122,0,31,1,2,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
123,0,55,2,2,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1
124,0,26,2,3,2,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
125,0,55,1,2,2,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0
126,0,46,2,6,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
127,0,26,2,6,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
128,0,35,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
129,1,47,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,0,23,1,3,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1
131,0,29,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1
132,0,36,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1
133,0,36,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
134,0,23,1,1,2,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
135,2,51,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0
136,1,32,0,6,2,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
137,0,55,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
138,0,18,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
139,1,50,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
140,0,20,1,4,2,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0
141,0,23,0,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
142,1,32,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
143,1,58,2,6,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0
144,0,37,1,3,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
145,1,29,2,4,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
146,0,31,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
147,0,19,1,6,2,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0
148,1,63,2,2,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1
149,0,34,0,5,2,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0
150,2,33,0,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
151,0,47,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
152,1,32,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0
153,1,42,0,2,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
154,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
155,0,38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
156,1,54,2,2,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
157,2,43,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0
158,0,27,1,3,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
159,0,39,2,0,2,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1
160,0,55,2,0,2,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1
161,0,42,0,2,2,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0
162,0,30,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1
163,0,28,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
164,1,27,1,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0
165,0,57,2,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
166,0,53,1,2,2,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
167,0,20,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1
168,0,26,1,0,2,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1
169,0,19,1,6,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0
170,1,23,1,2,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
171,0,44,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
172,1,43,1,5,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0
173,1,65,2,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
174,0,55,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
175,0,17,1,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
176,0,56,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
177,0,43,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
178,0,37,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
179,1,40,1,6,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
180,0,27,1,6,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0
181,0,60,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
182,0,20,1,3,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
183,0,69,2,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1,63,1,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
185,0,42,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
186,0,19,1,5,2,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0
187,1,26,0,2,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0
188,1,34,1,2,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0
189,0,40,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
190,0,26,1,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
191,0,24,0,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
192,1,50,0,3,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0
193,1,34,2,6,2,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
194,0,41,0,2,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
195,1,49,2,6,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
196,0,24,1,6,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1
197,2,55,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
198,0,31,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
199,0,56,2,1,2,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
200,2,42,0,3,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0
201,0,23,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0
202,2,46,0,2,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0
203,0,40,2,4,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
204,0,44,2,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1
205,0,27,0,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
206,2,58,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
207,0,60,0,2,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0
208,0,40,0,2,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
209,0,19,1,5,2,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1
210,1,27,1,5,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
211,0,41,0,5,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
212,0,32,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
213,1,47,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1
214,0,50,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0
215,0,21,0,5,2,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
216,0,18,1,3,2,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
217,1,24,1,3,2,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
218,0,38,2,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
219,0,45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
220,0,69,2,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
221,2,32,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
222,0,21,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
223,0,64,2,2,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
224,0,28,0,3,2,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1
225,0,49,2,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0
226,0,59,2,5,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
227,1,50,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
228,1,58,2,4,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
229,1,46,0,2,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1
230,0,38,2,1,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
231,0,38,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
232,1,28,1,1,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0
233,0,25,0,0,2,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1
234,0,29,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
235,1,33,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
236,2,33,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0
237,0,30,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
238,0,36,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
239,0,35,2,3,2,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0
240,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1
241,0,27,1,5,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
242,1,43,0,6,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
243,0,38,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
244,0,39,2,6,2,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
245,0,20,1,5,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1
